Task,Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Spectral Entropy,Mean Coherence,BOLD Mean,BOLD Variance,ALFF Mean,ALFF Variance
rest,9.901767530876787e-10,4.0778072055097034e-10,1.3847782266589029e-10,2.6674458796939203e-10,1.2536758248333403e-09,4.052207272327202,0.0517581958043669,126.22201092657345,47459.10833589867,2.9448606608566488,59.35747757084187
sleep,1.0206494395139766e-09,3.7720099412663586e-10,1.3586903443510038e-10,3.0654951967284337e-10,1.2193436357009862e-09,4.045343997812566,0.0479495610673376,126.40821203796204,46649.05869616135,3.053334439775985,62.12354933347852
sleep,2.515344091752283e-09,7.043620847137726e-10,2.7375162912872827e-10,6.23332725435557e-10,1.252221853391504e-09,4.071007641549044,0.0516265426960376,126.2699181027306,46794.35794495882,3.7400634108281294,93.54773875870798
rest,1.661463149909025e-09,5.641602171796268e-10,2.556281488111689e-10,2.8090626119252406e-10,1.2880431135850742e-09,4.0631551503298855,0.0517362788592213,125.32568302010488,46574.91232060224,3.305991838334762,65.77915943839585
sleep,1.616371727585621e-09,5.76897853538665e-10,2.933333443445641e-10,9.929403823209314e-10,1.209421589898464e-09,4.064528918793871,0.0593150879373212,125.23656471653348,46203.73890598476,3.7444467145214295,95.41293858634948
sleep,2.2617136994893193e-09,7.295070097827821e-10,2.968845141352392e-10,3.2947772895862216e-10,1.2804029967753582e-09,4.071380458733036,0.0573320372393632,125.29258072136196,46313.680768618135,3.3057871561756693,65.0539738533947
sleep,1.126538794449271e-09,4.990758185359396e-10,1.6751857882576657e-10,3.909191901642241e-10,1.2233473709036659e-09,4.045360455142264,0.0717767673894572,127.34840707209456,46980.18689472999,2.5727814289326063,41.19139259528
sleep,1.6633991843682082e-09,5.806524328113882e-10,2.7714367551127136e-10,8.583976500742075e-10,1.2297527869010616e-09,4.060367118095822,0.0492086248251319,125.98914197261072,46900.82826013148,3.44971405426349,72.91882022897953
sleep,4.72948174396527e-10,1.801561475162904e-10,6.385508190461776e-11,1.0114988140159042e-10,5.347869690735145e-10,4.013379839090945,0.0038246003412202,139.97124319430569,66435.39660338679,1.978749706438439,24.0216773969501
rest,5.760240641371254e-10,1.8160673132989763e-10,3.802479580110516e-11,7.661250252923481e-10,6.211016049487253e-10,4.012894491662834,-0.0013886434114158,139.5548618725025,66333.28201933348,2.1367735625652418,33.28490216690468
rest,5.928531782757543e-10,1.5927357187973919e-10,3.7803581548453556e-11,5.145866731041071e-10,5.022091465243312e-10,4.014814818675175,-0.0009200397114406,138.6398758116883,65039.95562875087,1.9340968412644668,21.426556924632013
sleep,5.117114950362335e-10,1.847388152554334e-10,7.728732369198784e-11,1.9008868442224846e-10,5.82172611030271e-10,4.014357626432613,0.0184468419674668,140.11648352688977,66427.59305797199,1.994192599184747,24.17122390398796
sleep,6.284406488851244e-10,1.4441768836173646e-10,4.0530290794435305e-11,2.9234085891135427e-10,4.691020808569003e-10,4.014672669883922,0.0007932983088091,137.68002961621713,63921.76293199483,2.466575498781688,38.87902108695648
sleep,5.08882876927546e-10,1.8407511704343656e-10,9.186256285493001e-11,2.77017790706572e-10,6.19813241987115e-10,4.01310124763308,0.0376804177879005,139.26639445970696,65655.18600362646,2.2698214408312265,40.782920601534
sleep,4.676008369026336e-10,1.6744294529624926e-10,4.991536420153279e-11,7.582484940864164e-11,4.903705623361185e-10,4.011360179952426,0.0057906108206019,139.37715503246753,65654.8981779494,2.371115898848729,37.26657519616083
sleep,4.997704152270503e-10,1.4925692450441949e-10,4.2620821386389686e-11,1.5678658906118554e-10,4.808845774879068e-10,4.0130241231561365,0.0185894472623038,137.83057220904095,63653.52305884429,2.139929338843633,22.990917342258523
sleep,3.1080920712789702e-09,7.30769072687572e-10,1.1099553148684231e-09,2.6397312576063324e-08,6.775345794145041e-09,4.040554098457491,0.0284202152969099,150.37994727147853,70433.85501930637,3.3340545173353338,86.90152079684077
sleep,8.354479568791041e-10,3.3441964314248636e-10,5.535514329600362e-10,1.493660176632891e-08,4.069397625924045e-09,4.0112667041038215,0.0326456889720992,150.76437819472196,70119.25098381139,2.5650239147248817,39.63276464981311
sleep,1.3287206942685707e-09,2.8310054830326216e-10,3.381345973538555e-10,9.541732760038709e-09,2.771342977123154e-09,4.026954333182565,0.0266561439167421,150.4802032654845,69840.10907739066,3.419150684905388,84.23099264938712
sleep,7.686715981430286e-10,3.4392564606550325e-10,6.3304207506416e-10,1.662615386107471e-08,4.439490790877765e-09,4.009528519711401,0.0269528827933078,150.57588733141858,70391.52680348807,2.6179080884697528,41.28859630755076
sleep,5.939386573394522e-10,1.7813347609949936e-10,2.6631071950688526e-10,8.110224316158184e-09,2.4244341752666038e-09,4.017831304790205,0.0235032689011533,149.5104806027306,69726.4680840051,2.50079724158357,36.70257151085076
sleep,7.97936652897139e-10,2.539431338995753e-10,4.198351125193039e-10,1.1740930840324597e-08,3.3005174842276755e-09,4.014066675711151,0.0257137113916615,150.79733102314353,70038.57946466352,2.6671703694720006,40.78142951553172
rest,1.934584795464268e-09,7.26925621590387e-10,1.1785602910594171e-09,2.7893615243058733e-08,7.046543739831011e-09,4.019560275528239,0.0206054802261138,150.833344389985,70762.16848372808,2.474774839410999,33.19461166242909
sleep,9.969248465357192e-10,5.497868520263597e-10,1.014226990327772e-09,2.5020333877070293e-08,6.449143316241155e-09,4.0061305804547445,0.0239247646522109,150.5742935501998,71280.26201093795,2.817162069878884,51.86034719184168
sleep,7.343631513171772e-10,4.309871791469551e-10,8.145858876898046e-10,2.070603781877187e-08,5.427266401010133e-09,4.007361901076829,0.0242636716955531,150.80517119338995,71110.2585951721,2.595504265967474,42.03693925879172
sleep,7.513741646730595e-10,4.0189945693077317e-10,3.751121946415104e-10,1.896855447105777e-09,1.0987734901848587e-09,4.031225500430675,0.0692269771132992,165.44403213453214,72788.89593280361,2.81795475266852,59.14004614367296
sleep,1.4059629750106575e-09,8.198627463095744e-10,7.46865975817746e-10,5.766769115886851e-09,1.8381397691261766e-09,4.048867099851737,0.0600851904543331,164.03526366341993,73339.13579070041,5.077181996428686,189.74014569018576
sleep,1.6093991315261911e-09,5.656140624888661e-10,5.189941107453802e-10,2.916274846893876e-09,1.3067343475150961e-09,4.052879920433371,0.0894691440076957,164.96793556443558,73139.12534593552,3.1673984045851573,71.81497240073563
rest,6.536923499040395e-10,3.1551657705179474e-10,2.7451713602158083e-10,9.659469828148139e-10,8.478530802755326e-10,4.027445449926107,0.062087780500167,164.69701946491008,73712.66084073533,2.96957875694239,65.32036845659974
sleep,2.8540652082921754e-09,8.435345076230021e-10,8.646080903648193e-10,7.955272808435141e-09,1.684482605024448e-09,4.060437121113212,0.0485270782149895,162.58299799159175,74299.35058023981,3.795191591088206,112.77812584595334
sleep,8.683592982052813e-10,5.061408023086856e-10,5.217660539790773e-10,3.4760991276410878e-09,1.4200237509725861e-09,4.034874633043337,0.0697926513271966,165.15785051406925,73144.85049670801,3.833977013436049,109.14324533627992
sleep,2.3209706989413882e-09,7.244690991338801e-10,7.057213415115954e-10,4.752435529742326e-09,1.6713534607990502e-09,4.066308695571962,0.081276226725079,163.95867658383284,74218.68954667303,4.4463502358630524,152.0457800957161
