Subject,Run,Task,Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Spectral Entropy,Mean Coherence
15,6,sleep,5.08882876927546e-10,1.8407511704343656e-10,9.186256285493001e-11,2.77017790706572e-10,6.198132419871151e-10,4.01310124763308,0.0376804177879005
15,3,sleep,4.676008369026336e-10,1.6744294529624926e-10,4.991536420153279e-11,7.582484940864164e-11,4.903705623361185e-10,4.011360179952426,0.0057906108206019
15,2,sleep,4.997704152270505e-10,1.4925692450441949e-10,4.2620821386389686e-11,1.5678658906118554e-10,4.808845774879068e-10,4.0130241231561365,0.0185894472623038
16,1,sleep,3.1080920712789702e-09,7.307690726875722e-10,1.1099553148684231e-09,2.6397312576063317e-08,6.775345794145041e-09,4.040554098457491,0.0284202152969099
16,5,sleep,8.354479568791041e-10,3.3441964314248636e-10,5.535514329600364e-10,1.493660176632891e-08,4.069397625924045e-09,4.0112667041038215,0.0326456889720992
16,7,sleep,1.3287206942685707e-09,2.8310054830326216e-10,3.381345973538555e-10,9.541732760038709e-09,2.771342977123154e-09,4.026954333182565,0.0266561439167421
16,4,sleep,7.686715981430288e-10,3.4392564606550335e-10,6.330420750641601e-10,1.662615386107471e-08,4.439490790877765e-09,4.009528519711401,0.0269528827933078
16,8,sleep,5.939386573394522e-10,1.7813347609949936e-10,2.6631071950688526e-10,8.110224316158184e-09,2.4244341752666038e-09,4.017831304790205,0.0235032689011533
16,6,sleep,7.97936652897139e-10,2.539431338995753e-10,4.198351125193039e-10,1.1740930840324597e-08,3.3005174842276755e-09,4.014066675711151,0.0257137113916615
16,2,rest,1.934584795464268e-09,7.26925621590387e-10,1.1785602910594171e-09,2.7893615243058726e-08,7.046543739831011e-09,4.019560275528239,0.0206054802261138
16,2,sleep,9.969248465357192e-10,5.497868520263597e-10,1.014226990327772e-09,2.5020333877070286e-08,6.449143316241155e-09,4.0061305804547445,0.0239247646522109
16,3,sleep,7.343631513171774e-10,4.309871791469551e-10,8.145858876898046e-10,2.070603781877187e-08,5.427266401010133e-09,4.007361901076829,0.0242636716955531
17,1,sleep,7.513741646730595e-10,4.0189945693077317e-10,3.751121946415104e-10,1.896855447105777e-09,1.0987734901848587e-09,4.031225500430675,0.0692269771132992
